n_steps,n_shared,n_ind,accuracy
2,1,1,0.7059757792336708
2,1,2,0.7077625570776256
2,1,3,0.7041890013897161
2,2,1,0.7055787174905698
2,2,2,0.7099463966646814
2,2,3,0.7091522731784793
2,3,1,0.7107405201508835
2,3,2,0.7043875322612666
2,3,3,0.7115346436370855
3,1,1,0.6972404208854477
3,1,2,0.7162993845542982
3,1,3,0.7192773476275561
3,2,1,0.7121302362517371
3,2,2,0.7137184832241413
3,2,3,0.7053801866190192
3,3,1,0.7063728409767719
3,3,2,0.7043875322612666
3,3,3,0.7057772483621203
4,1,1,0.7085566805638277
4,1,2,0.7176891006551519
4,1,3,0.7111375818939845
4,2,1,0.7131228906094897
4,2,2,0.7174905697836014
4,2,3,0.7089537423069288
4,3,1,0.7091522731784793
4,3,2,0.7099463966646814
4,3,3,0.7022036926742108
5,1,1,0.7107405201508835
5,1,2,0.7170935080405003
5,1,3,0.7091522731784793
5,2,1,0.7129243597379392
5,2,2,0.7069684335914235
5,2,3,0.7085566805638277
5,3,1,0.7139170140956919
5,3,2,0.7143140758387929
5,3,3,0.7047845940043677
6,1,1,0.7164979154258487
6,1,2,0.7162993845542982
6,1,3,0.7067699027198729
6,2,1,0.7041890013897161
6,2,2,0.714711137581894
6,2,3,0.7031963470319634
6,3,1,0.7166964462973993
6,3,2,0.7027992852888624
6,3,3,0.7020051618026603
7,1,1,0.710541989279333
7,1,2,0.7027992852888624
7,1,3,0.7161008536827477
7,2,1,0.703791939646615
7,2,2,0.710939051022434
7,2,3,0.7188802858844551
7,3,1,0.703791939646615
7,3,2,0.7069684335914235
7,3,3,0.696247766527695
8,1,1,0.7083581496922772
8,1,2,0.7093508040500298
8,1,3,0.7125272979948382
8,2,1,0.6986301369863014
8,2,2,0.7008139765733572
8,2,3,0.7119317053801866
8,3,1,0.7083581496922772
8,3,2,0.7063728409767719
8,3,3,0.7024022235457613
